rg,nome,idade,cidade,salario
10702325,Leila,1977-05-04,Santa Luzia,1409.00
10702346,Archie,1986-02-03,Betim,1562.00
10702367,Mabel,1997-10-04,Belo Horizonte,1856.00
10702388,Lossie,1966-02-21,Ribeirão das Neves,2276.00
10702409,Isa,1952-02-13,Contagem,2188.00
10702430,Cora,1960-09-22,Betim,2352.00
10702451,Trannie,1990-03-19,Santa Luzia,2052.00
10702472,Dorsey,1985-02-01,Santa Luzia,1401.00
10702493,Jessie,1955-06-14,Contagem,2215.00
10702514,Minnie,1988-01-04,Betim,1830.00
10702535,Erlene,1965-06-04,Betim,1939.00
10702556,Peggy,1946-06-20,Betim,1567.00
10702577,Elna,1957-12-03,Contagem,1681.00
10702598,Susanna,1953-04-28,Betim,1658.00
10702619,Kitty,1967-11-02,Contagem,2014.00
10702640,Elva,1965-05-17,Ribeirão das Neves,2415.00
10702661,Shelton,1975-09-06,Betim,1635.00
10702682,Winslow,1954-09-13,Belo Horizonte,1930.00
10702703,Elgie,1988-04-25,Santa Luzia,2270.00
10702724,Saloma,1967-06-06,Belo Horizonte,2481.00
10702745,Veola,1991-03-03,Belo Horizonte,2122.00
10702766,Elenora,1979-12-02,Santa Luzia,1842.00
10702787,Waverly,1983-01-18,Ribeirão das Neves,2334.00
10702808,Boss,1972-10-02,Contagem,1720.00
10702829,Della,1992-07-04,Contagem,1887.00
10702850,Percy,1966-12-22,Betim,1822.00
10702871,Irene,1953-10-26,Ribeirão das Neves,1821.00
10702892,Rea,1969-05-09,Contagem,1541.00
10702913,Fread,1955-07-04,Contagem,2356.00
10702934,Dera,1980-06-09,Belo Horizonte,2214.00
10702955,Dollie,1946-04-11,Ribeirão das Neves,2352.00
10702976,Clarance,1956-09-05,Contagem,1486.00
10702997,Adelyne,1951-04-01,Ribeirão das Neves,1905.00
10703018,Leopoldo,1997-04-18,Contagem,2273.00
10703039,Willie,1997-04-13,Belo Horizonte,1662.00
10703060,Wilfred,1973-07-25,Ribeirão das Neves,1338.00
10703081,Sam,1992-06-19,Contagem,2110.00
10703102,Norvel,1951-10-30,Santa Luzia,1746.00
10703123,Esperanza,1954-01-25,Santa Luzia,2255.00
10703144,Lawyer,1997-09-26,Betim,1694.00
10703165,Lydie,1966-05-02,Betim,2219.00
10703186,Lane,1982-03-13,Santa Luzia,2194.00
10703207,Lea,1976-07-20,Santa Luzia,2459.00
10703228,Roslyn,1962-11-16,Contagem,2038.00
10703249,Sim,1993-09-08,Ribeirão das Neves,2201.00
10703270,Daniel,1947-03-20,Belo Horizonte,1504.00
10703291,Gregory,1996-02-05,Contagem,1662.00
10703312,Bennie,1991-02-15,Ribeirão das Neves,2386.00
10703333,Hester,1993-03-17,Santa Luzia,1534.00
10703354,Olivia,1973-12-06,Belo Horizonte,1649.00
10703375,Mirtie,1984-02-19,Betim,1447.00
10703396,Trina,1977-01-15,Contagem,2033.00
10703417,Thekla,1992-11-15,Belo Horizonte,1678.00
10703438,Olin,1960-12-24,Ribeirão das Neves,1532.00
10703459,Erna,1999-04-06,Betim,2056.00
10703480,Elba,1986-05-08,Betim,1530.00
10703501,Ronald,1985-05-09,Santa Luzia,1830.00
10703522,Robt,1990-03-12,Betim,1938.00
10703543,Alethia,1982-06-06,Santa Luzia,1757.00
10703564,Wallie,1992-02-24,Contagem,1547.00
10703585,Eloise,1957-11-28,Contagem,2424.00
10703606,Olympia,1976-05-15,Belo Horizonte,1356.00
10703627,Ivory,1995-11-28,Betim,1731.00
10703648,Tyne,1967-04-17,Belo Horizonte,1639.00
10703669,Joy,1959-01-30,Ribeirão das Neves,2458.00
10703690,Leonard,1954-11-24,Betim,2067.00
10703711,Hilton,1960-07-23,Santa Luzia,1750.00
10703732,Gusta,1969-02-04,Contagem,1869.00
10703753,Georgia,1959-10-25,Belo Horizonte,1898.00
10703774,Agnes,1978-03-13,Santa Luzia,1869.00
10703795,Mettie,1996-08-18,Belo Horizonte,1698.00
10703816,Grace,1994-02-05,Santa Luzia,1451.00
10703837,Clevie,1984-03-09,Santa Luzia,1725.00
10703858,Erwin,1960-02-19,Contagem,1460.00
10703879,Orson,1968-04-25,Belo Horizonte,2246.00
10703900,Adel,1993-05-24,Belo Horizonte,1376.00
10703921,Cliffie,1970-01-16,Contagem,2446.00
10703942,Author,1944-04-04,Santa Luzia,1386.00
10703963,Nathaniel,1998-07-05,Santa Luzia,1929.00
10703984,Eldon,1998-07-02,Ribeirão das Neves,2401.00
10704005,Emilie,1952-05-01,Ribeirão das Neves,1793.00
10704026,Pearlie,1998-04-15,Santa Luzia,2466.00
10704047,Mahalie,1959-02-07,Ribeirão das Neves,1416.00
10704068,Sofia,1947-05-04,Ribeirão das Neves,1369.00
10704089,Stewart,1969-12-22,Ribeirão das Neves,1379.00
10704110,Dudley,1965-11-07,Belo Horizonte,2102.00
10704131,Delmer,1956-10-29,Contagem,1916.00
10704152,Lassie,1988-01-09,Belo Horizonte,2043.00
10704173,Narcissus,1951-04-15,Contagem,2034.00
10704194,Orilla,1997-05-23,Belo Horizonte,1609.00
10704215,Belle,1981-01-04,Contagem,2308.00
10704236,Washington,1982-09-06,Santa Luzia,1692.00
10704257,Otho,1951-09-04,Ribeirão das Neves,2138.00
10704278,Pascal,1978-03-14,Ribeirão das Neves,1840.00
10704299,Scott,1971-03-19,Santa Luzia,2013.00
10704320,Hildegarde,1949-06-30,Contagem,1397.00
10704341,Lane,1986-05-08,Belo Horizonte,1401.00
10704362,Zeke,1950-02-05,Belo Horizonte,2145.00
10704383,Aleda,1994-09-04,Contagem,1750.00
10704404,Oren,1964-11-18,Ribeirão das Neves,1652.00
10704425,Delila,1997-12-22,Belo Horizonte,1927.00
10704446,Mimie,1987-12-01,Betim,2470.00
10704467,Olga,1978-10-06,Contagem,2150.00
10704488,Harriet,1977-10-22,Ribeirão das Neves,1610.00
10704509,Olin,1973-04-19,Ribeirão das Neves,2191.00
10704530,Elizabeth,1956-12-21,Belo Horizonte,2350.00
10704551,Garfield,1999-04-13,Contagem,1624.00
10704572,Rosebud,1950-01-02,Santa Luzia,2454.00
10704593,Alexander,1968-12-23,Contagem,1563.00
10704614,Lum,1996-08-19,Contagem,1520.00
10704635,Dennie,1962-07-27,Betim,2441.00
10704656,Daisie,1970-10-07,Ribeirão das Neves,1783.00
10704677,Emaline,1978-08-05,Ribeirão das Neves,1363.00
10704698,Jodie,1964-06-03,Belo Horizonte,1433.00
10704719,Amey,1987-01-17,Contagem,1501.00
10704740,Hazel,1957-07-16,Santa Luzia,2109.00
10704761,Margaret,1992-05-05,Santa Luzia,1514.00
10704782,Angelita,1952-08-15,Belo Horizonte,2454.00
10704803,Golda,1964-10-13,Contagem,1391.00
10704824,Jess,1997-05-13,Belo Horizonte,2283.00
10704845,Laurel,1972-11-14,Santa Luzia,2419.00
10704866,Izetta,1996-03-12,Santa Luzia,1714.00
10704887,Birtie,1968-06-16,Ribeirão das Neves,2055.00
10704908,Laurene,1989-11-30,Ribeirão das Neves,1570.00
10704929,Georgiana,1987-07-22,Santa Luzia,1708.00
10704950,Luna,1981-07-17,Santa Luzia,1615.00
10704971,Constantine,1997-03-17,Santa Luzia,2430.00
10704992,Thelma,1983-12-17,Betim,2420.00
10705013,Sarrah,1958-08-28,Betim,1565.00
10705034,Otto,1953-02-19,Santa Luzia,2441.00
10705055,Marianna,1998-12-21,Contagem,1921.00
10705076,Georgia,1958-09-26,Contagem,2384.00
10705097,Orson,1968-10-22,Betim,1655.00
10705118,Bethel,1980-08-30,Belo Horizonte,1785.00
10705139,Wanda,1981-02-06,Ribeirão das Neves,1566.00
10705160,Petra,1944-05-06,Santa Luzia,1385.00
10705181,Ola,1976-04-30,Ribeirão das Neves,2231.00
10705202,Huey,1965-03-24,Betim,2043.00
10705223,Cleo,1951-10-30,Contagem,1859.00
10705244,Christ,1981-08-28,Ribeirão das Neves,2095.00
10705265,Roger,1965-11-04,Santa Luzia,1589.00
10705286,Roxanna,1999-02-05,Contagem,1544.00
10705307,Hosteen,1968-07-27,Santa Luzia,2313.00
