crm,rg,data,hora
4238,20997855,2024-07-29,11:59:13
5364,30127605,2024-01-23,01:23:55
1824,35672277,2024-09-28,14:58:34
4064,21289230,2024-06-12,11:37:59
5050,79091037,2024-08-27,16:37:01
4532,65478774,2024-08-11,00:31:36
4441,27186660,2024-09-26,13:44:52
4044,72989256,2024-04-09,18:00:41
2557,83661351,2024-06-11,16:24:12
2441,95055279,2024-03-22,18:13:21
3818,36720450,2024-03-06,19:22:04
2312,27842448,2024-01-02,04:07:17
5270,66279861,2024-03-04,00:23:39
1601,20545641,2024-05-06,05:06:07
5903,25745325,2024-09-02,19:10:40
3158,28437630,2024-01-13,02:16:51
5014,81211470,2024-09-15,23:51:44
1960,81561120,2024-12-25,06:15:27
5707,88522263,2024-11-01,00:46:23
2972,72948075,2024-08-20,13:23:13
5728,43181205,2024-06-15,15:05:51
2727,42582138,2024-04-20,15:42:52
5349,51037452,2024-12-18,15:37:38
5840,63510633,2024-06-03,00:48:54
3918,63268209,2024-01-31,18:57:44
4906,96432900,2024-04-06,19:54:24
1498,41230935,2024-09-28,07:11:35
1174,24913158,2024-06-05,11:58:58
2236,53017248,2024-10-14,05:45:12
5823,73035876,2024-01-02,04:16:06
4831,24892956,2024-11-20,07:22:08
5310,71133003,2024-08-11,13:48:31
5225,63382428,2024-11-12,16:07:07
2277,65360670,2024-08-18,06:59:14
5386,52859517,2024-02-19,06:27:39
1629,61660596,2024-01-13,03:31:37
3681,62243346,2024-01-30,02:22:19
4299,25684719,2024-03-29,09:37:01
4455,67374654,2024-05-21,16:21:52
2622,82442238,2024-12-12,06:11:15
4178,38687037,2024-09-30,03:45:37
4389,51168765,2024-09-29,01:14:17
5250,62289189,2024-07-20,15:26:20
4431,83622501,2024-05-02,16:19:49
1998,81008673,2024-09-29,10:41:27
1757,58875828,2024-09-29,21:52:27
4702,65812884,2024-01-31,13:54:51
4557,87729723,2024-04-21,12:59:26
2068,91758468,2024-08-19,17:03:47
4211,20807490,2024-08-10,18:03:59
3344,74376978,2024-07-18,10:54:59
4456,46740642,2024-07-24,17:45:57
1406,48478014,2024-12-14,07:30:17
5648,49542504,2024-06-23,22:04:52
5905,85947285,2024-08-19,11:53:27
5926,61431381,2024-08-30,20:01:47
1445,21347505,2024-09-14,19:00:50
3162,27472596,2024-12-22,00:04:15
2471,68061522,2024-12-04,12:43:49
2359,68773254,2024-05-26,16:35:59
2308,55030455,2024-11-26,12:23:09
2327,89642697,2024-04-03,17:50:25
4010,72791121,2024-09-24,23:31:41
2299,83481864,2024-11-12,11:38:16
2691,78229344,2024-05-09,03:54:36
5319,36397995,2024-10-28,16:36:20
2106,91386285,2024-10-12,18:09:49
5385,54707223,2024-11-26,19:44:28
2966,35593800,2024-09-20,12:52:00
3511,83087925,2024-02-19,12:22:17
3805,55575909,2024-06-14,22:15:31
3248,78423594,2024-01-19,05:34:10
3353,35342052,2024-03-08,16:23:09
1949,75805881,2024-10-31,10:38:43
4735,22477263,2024-05-29,08:21:07
2406,38184318,2024-03-18,13:42:39
5578,25643538,2024-03-20,18:28:51
3946,29975313,2024-05-14,15:53:40
2097,97099566,2024-04-05,01:07:28
2161,63834642,2024-12-01,13:05:25
4186,55386321,2024-05-30,23:54:08
1937,79283733,2024-04-25,18:35:11
4569,38883618,2024-08-07,04:58:15
3069,21958227,2024-09-03,18:11:41
4527,92683875,2024-07-26,00:11:01
4016,46620207,2024-02-26,08:52:49
1819,74826861,2024-06-09,12:36:19
5520,89316357,2024-12-10,20:11:52
2790,80349000,2024-03-07,23:32:06
1072,49673817,2024-09-11,21:01:05
5133,41623320,2024-08-10,01:48:13
5381,46588350,2024-09-13,15:59:24
2284,62863392,2024-09-07,13:26:48
4820,86506725,2024-07-17,02:54:24
3359,26022714,2024-07-07,14:25:57
1095,73395627,2024-03-02,05:35:31
3493,88501284,2024-08-05,17:55:35
1934,31217736,2024-12-23,01:18:11
2291,46485786,2024-12-04,00:57:16
3190,82608516,2024-02-23,19:16:35
4361,45779493,2024-07-07,21:53:31
1790,23741442,2024-11-25,14:22:43
1407,50945766,2024-07-07,12:29:02
2877,92868801,2024-07-09,17:31:05
5781,42046785,2024-09-13,10:38:28
3664,88017213,2024-04-25,04:49:11
1026,85894449,2024-07-24,11:40:37
5672,85706415,2024-04-20,04:57:08
1182,30858762,2024-07-21,16:38:29
1026,23857215,2024-10-18,08:48:09
4276,66427491,2024-09-06,17:06:33
2668,63077844,2024-11-21,23:41:09
1828,43817568,2024-07-27,14:16:57
5454,86689320,2024-03-27,19:23:03
4068,93720393,2024-01-19,08:24:31
1313,69181956,2024-05-07,12:14:34
2220,30637317,2024-09-19,01:54:50
2448,60992376,2024-12-14,20:13:15
1504,23856438,2024-12-08,19:23:08
1595,47066982,2024-05-22,06:44:23
3995,34208409,2024-02-20,02:33:15
3444,65341245,2024-10-04,09:44:46
5470,40034355,2024-07-16,21:05:58
2712,83383962,2024-07-16,04:38:28
1667,28001733,2024-08-14,18:33:01
2684,47205288,2024-05-03,18:05:44
5251,78107355,2024-08-05,18:17:27
4791,38412756,2024-02-20,18:24:22
2455,46415856,2024-08-29,01:26:48
5003,76275189,2024-02-01,02:57:48
1580,83665236,2024-10-31,03:56:05
4413,49501323,2024-09-15,11:50:39
2709,97007880,2024-06-07,04:36:50
3174,35771733,2024-03-17,06:19:57
5936,78983034,2024-11-07,18:19:08
3989,33046017,2024-02-07,08:37:50
3547,93468645,2024-10-30,09:15:25
2542,44356029,2024-08-03,22:46:05
1493,34172667,2024-08-23,10:41:46
1420,30277566,2024-07-20,11:59:48
1899,94749918,2024-04-07,00:52:54
5193,66575121,2024-08-18,03:27:03
5057,24926367,2024-02-23,14:56:20
5856,44214615,2024-07-27,09:52:23
5180,84660573,2024-04-10,23:34:37
4599,57406521,2024-08-30,22:43:00
5145,47084076,2024-09-26,23:57:05
2901,40512987,2024-06-11,14:23:51
2727,60157101,2024-03-05,14:17:18
5094,53441490,2024-12-31,23:18:50
3685,50076303,2024-04-04,07:39:58
1886,64515294,2024-08-28,13:13:50
2027,21354498,2024-06-17,12:47:25
4098,29379354,2024-12-22,16:22:50
2063,37767846,2024-05-27,02:23:24
5913,75988476,2024-03-12,06:09:40
5163,74077056,2024-11-03,15:55:40
5539,88771680,2024-06-08,22:40:42
1463,76283736,2024-01-09,03:56:07
2653,69889026,2024-12-02,18:37:50
2737,59591445,2024-07-22,01:44:07
2664,53826105,2024-12-04,13:45:33
4748,59378547,2024-08-11,08:23:09
5547,56405745,2024-10-20,23:32:22
4450,40759296,2024-02-20,17:35:03
3994,81037422,2024-11-12,03:50:06
1257,55781037,2024-08-02,04:38:48
1972,57908463,2024-10-19,05:58:15
3828,59749953,2024-03-15,13:51:49
1318,85651248,2024-10-05,02:47:35
5910,67779471,2024-07-18,16:13:44
1397,23060790,2024-09-02,01:21:45
