crm,nome,idade,cidade,especialidade,numeroA
1000,Sybil,1996-06-29,Ribeirão das Neves,Dermatologista,591
1001,Euna,1981-02-26,Contagem,Pediatra,388
1002,Oral,1971-10-10,Santa Luzia,Neurologista,891
1003,Rex,1962-05-09,Belo Horizonte,Pediatra,598
1004,Margaretta,1979-02-18,Santa Luzia,Neurologista,452
1005,Percy,1945-02-19,Ribeirão das Neves,Dermatologista,252
1006,Edison,1996-11-22,Ribeirão das Neves,Cirurgião,814
1007,Nannette,1975-09-19,Betim,Neurologista,874
1008,Loma,1951-12-15,Belo Horizonte,Neurologista,72
1009,Lewis,1974-03-13,Betim,Pediatra,63
1010,Zena,1978-02-12,Belo Horizonte,Cirurgião,897
1011,Carter,1946-06-26,Santa Luzia,Cardiologista,694
1012,Archibald,1946-04-25,Ribeirão das Neves,Dermatologista,855
1013,Farrell,1986-06-19,Ribeirão das Neves,Cardiologista,857
1014,Cleda,1995-03-28,Belo Horizonte,Ortopedista,642
1015,Mahala,1950-02-24,Belo Horizonte,Neurologista,513
1016,Versie,1980-11-25,Betim,Cardiologista,19
1017,Adelia,1987-05-23,Ribeirão das Neves,Ortopedista,711
1018,Bertram,1989-12-17,Belo Horizonte,Cardiologista,540
1019,Hilaria,1965-09-14,Santa Luzia,Cardiologista,952
1020,Etha,1988-08-01,Santa Luzia,Ortopedista,815
1021,Cecil,1962-09-12,Contagem,Cardiologista,64
1022,Madelyn,1998-02-01,Ribeirão das Neves,Neurologista,318
1023,Fletcher,1986-02-07,Ribeirão das Neves,Cardiologista,583
1024,Rozella,1947-02-08,Santa Luzia,Neurologista,239
1025,Al,1962-01-05,Ribeirão das Neves,Ortopedista,747
1026,Alfred,1998-10-18,Ribeirão das Neves,Pediatra,533
1027,Lacy,1947-11-27,Belo Horizonte,Cirurgião,255
1028,Rudolph,1976-01-13,Belo Horizonte,Cardiologista,294
1029,Janie,1950-01-13,Belo Horizonte,Neurologista,639
1030,Hamp,1989-01-31,Ribeirão das Neves,Cardiologista,308
1031,Leonia,1976-08-28,Santa Luzia,Cirurgião,349
1032,Alzina,1988-11-29,Ribeirão das Neves,Ortopedista,163
