rg,nome,idade,cidade,doenca
20306325,Pinkie,44,Santa Luzia,dengue
20307102,Letta,79,Betim,dengue
20307879,Paris,42,Belo Horizonte,dengue
20308656,Loise,76,Santa Luzia,virose
20309433,Jake,95,Contagem,catapora
20310210,Pink,83,Belo Horizonte,febre amarela
20310987,Cele,89,Belo Horizonte,artrite
20311764,Almedia,57,Belo Horizonte,artrite
20312541,Valeria,72,Ribeirão das Neves,gripe
20313318,Eldred,1,Belo Horizonte,covid-19
20314095,Yvonne,48,Santa Luzia,catapora
20314872,Hilary,83,Betim,virose
20315649,Buster,69,Betim,pneumonia
20316426,Gertha,82,Betim,covid-19
20317203,Adella,43,Belo Horizonte,artrite
20317980,Etha,40,Belo Horizonte,dengue
20318757,Doss,22,Betim,gripe
20319534,Harlow,23,Ribeirão das Neves,cancer
20320311,Salome,24,Ribeirão das Neves,fibromialgia
20321088,Rosalia,11,Santa Luzia,febre amarela
20321865,Victorine,15,Ribeirão das Neves,pneumonia
20322642,Ebba,78,Belo Horizonte,gripe
20323419,Millicent,29,Contagem,virose
20324196,Verlie,63,Ribeirão das Neves,cancer
20324973,Chauncey,95,Ribeirão das Neves,gripe
20325750,Millicent,73,Santa Luzia,artrite
20326527,Dan,21,Betim,dengue
20327304,Emogene,67,Contagem,fibromialgia
20328081,Georgetta,26,Belo Horizonte,artrite
20328858,Almina,7,Santa Luzia,pneumonia
20329635,Letitia,45,Belo Horizonte,cancer
20330412,Dessie,52,Betim,febre amarela
20331189,Ruth,14,Belo Horizonte,catapora
20331966,Tiney,50,Santa Luzia,pneumonia
20332743,Sally,13,Betim,fibromialgia
20333520,Mammie,52,Ribeirão das Neves,virose
20334297,Edson,41,Belo Horizonte,gripe
20335074,Delora,82,Santa Luzia,covid-19
20335851,Hilliard,34,Belo Horizonte,pneumonia
20336628,Donovan,58,Santa Luzia,fibromialgia
20337405,Philomena,10,Belo Horizonte,covid-19
20338182,Ewell,28,Belo Horizonte,cancer
20338959,Aili,5,Betim,covid-19
20339736,Garret,25,Santa Luzia,virose
20340513,Ramon,17,Ribeirão das Neves,gripe
20341290,Jeannette,9,Betim,febre amarela
20342067,Theo,67,Santa Luzia,catapora
20342844,Deforest,71,Belo Horizonte,artrite
20343621,Rosco,39,Belo Horizonte,covid-19
20344398,Edd,75,Ribeirão das Neves,cancer
20345175,Cherrie,78,Belo Horizonte,artrite
20345952,Stonewall,2,Betim,febre amarela
20346729,Adriana,77,Contagem,pneumonia
20347506,Lela,59,Betim,gripe
20348283,Wessie,77,Belo Horizonte,catapora
20349060,Earline,3,Contagem,dengue
20349837,Reuben,88,Belo Horizonte,dengue
20350614,Ester,12,Santa Luzia,febre amarela
20351391,Garnett,30,Betim,covid-19
20352168,Lura,41,Ribeirão das Neves,pneumonia
20352945,Villa,23,Ribeirão das Neves,febre amarela
20353722,Hezekiah,79,Santa Luzia,catapora
20354499,Melda,74,Ribeirão das Neves,virose
20355276,Payton,97,Ribeirão das Neves,virose
20356053,Iver,78,Contagem,gripe
20356830,Loyal,25,Ribeirão das Neves,fibromialgia
20357607,Alden,57,Contagem,pneumonia
20358384,Odella,14,Contagem,fibromialgia
20359161,Johney,74,Contagem,artrite
20359938,Maybelle,33,Belo Horizonte,artrite
20360715,Medie,75,Betim,pneumonia
20361492,Anie,27,Belo Horizonte,gripe
20362269,Mima,5,Contagem,cancer
20363046,Alison,82,Belo Horizonte,virose
20363823,Eller,27,Belo Horizonte,catapora
20364600,Marinda,82,Betim,cancer
20365377,Evert,51,Ribeirão das Neves,dengue
20366154,Inez,4,Belo Horizonte,cancer
20366931,Adda,14,Betim,gripe
20367708,Orie,49,Contagem,gripe
20368485,Effie,98,Ribeirão das Neves,febre amarela
20369262,Tilda,92,Contagem,artrite
20370039,Ernst,16,Contagem,covid-19
20370816,Marvel,89,Belo Horizonte,gripe
20371593,Mariah,5,Betim,febre amarela
20372370,Clark,67,Belo Horizonte,artrite
20373147,Arta,62,Santa Luzia,dengue
20373924,Sandy,29,Belo Horizonte,cancer
20374701,Rosella,86,Belo Horizonte,febre amarela
20375478,Marilla,93,Betim,catapora
20376255,Peter,61,Ribeirão das Neves,virose
20377032,Odell,66,Ribeirão das Neves,febre amarela
20377809,Clay,10,Betim,covid-19
20378586,Madolin,5,Betim,artrite
20379363,Glenn,83,Belo Horizonte,catapora
20380140,Sadye,24,Ribeirão das Neves,cancer
20380917,Cathern,72,Belo Horizonte,artrite
20381694,Mae,50,Santa Luzia,artrite
20382471,Algie,22,Betim,fibromialgia
20383248,Fanny,27,Betim,cancer
20384025,Anita,46,Belo Horizonte,fibromialgia
20384802,Hervey,81,Contagem,pneumonia
20385579,Curtis,27,Santa Luzia,covid-19
20386356,Izetta,19,Betim,fibromialgia
20387133,Lourene,39,Contagem,pneumonia
20387910,Lettie,17,Belo Horizonte,cancer
20388687,Elbert,98,Contagem,gripe
20389464,Alpheus,2,Santa Luzia,gripe
20390241,Alta,3,Betim,artrite
20391018,Ova,28,Santa Luzia,artrite
20391795,Junie,90,Belo Horizonte,covid-19
20392572,Clyda,17,Santa Luzia,fibromialgia
20393349,Evaline,99,Belo Horizonte,artrite
20394126,Merle,72,Betim,febre amarela
20394903,Shirley,97,Santa Luzia,catapora
20395680,Theodore,48,Belo Horizonte,dengue
20396457,Pedro,22,Belo Horizonte,gripe
20397234,Oliver,43,Contagem,febre amarela
20398011,Calvin,81,Belo Horizonte,fibromialgia
20398788,Lenna,59,Ribeirão das Neves,cancer
20399565,Dollie,84,Betim,covid-19
20400342,Eular,28,Ribeirão das Neves,pneumonia
20401119,Rube,92,Santa Luzia,fibromialgia
20401896,Ollie,74,Betim,febre amarela
20402673,Odelia,4,Santa Luzia,catapora
20403450,Hermon,82,Contagem,febre amarela
20404227,Cloyd,41,Contagem,catapora
20405004,Willian,49,Contagem,catapora
20405781,Maida,94,Betim,cancer
20406558,Rae,44,Santa Luzia,pneumonia
20407335,Osa,30,Belo Horizonte,cancer
20408112,Antonia,33,Belo Horizonte,febre amarela
20408889,Claude,72,Santa Luzia,covid-19
20409666,Otie,82,Belo Horizonte,artrite
20410443,Lorene,66,Belo Horizonte,cancer
20411220,Rosie,76,Ribeirão das Neves,covid-19
20411997,Bulah,98,Contagem,gripe
20412774,Vernie,40,Contagem,catapora
20413551,Lorene,99,Ribeirão das Neves,virose
20414328,Dow,4,Belo Horizonte,febre amarela
20415105,Madgie,13,Ribeirão das Neves,fibromialgia
20415882,Humphrey,86,Contagem,fibromialgia
20416659,Wyman,9,Santa Luzia,virose
20417436,Sula,14,Santa Luzia,covid-19
20418213,Florance,36,Betim,febre amarela
20418990,Holly,71,Ribeirão das Neves,febre amarela
20419767,Rachael,68,Belo Horizonte,catapora
20420544,Vester,82,Ribeirão das Neves,fibromialgia
20421321,Ernest,95,Betim,virose
20422098,Clemmie,4,Ribeirão das Neves,covid-19
20422875,Texie,44,Betim,virose
20423652,Vira,3,Santa Luzia,catapora
20424429,Lonnie,78,Belo Horizonte,artrite
20425206,Antoinetta,39,Ribeirão das Neves,covid-19
20425983,Lee,63,Betim,covid-19
20426760,Lodie,74,Santa Luzia,gripe
20427537,Lillian,82,Betim,gripe
20428314,Henry,28,Contagem,gripe
20429091,Mathew,75,Betim,dengue
20429868,Amil,26,Ribeirão das Neves,fibromialgia
20430645,Vesta,5,Belo Horizonte,cancer
20431422,Orrie,68,Belo Horizonte,pneumonia
20432199,Albion,77,Santa Luzia,cancer
20432976,Camilla,35,Ribeirão das Neves,pneumonia
20433753,Chester,32,Betim,gripe
20434530,Tennessee,44,Contagem,fibromialgia
20435307,Germaine,75,Betim,artrite
20436084,Onnie,40,Contagem,virose
20436861,Willie,21,Contagem,cancer
20437638,Elenora,12,Ribeirão das Neves,gripe
20438415,Olivia,49,Ribeirão das Neves,cancer
20439192,Christ,93,Ribeirão das Neves,catapora
20439969,Miles,13,Contagem,virose
20440746,Doshie,85,Santa Luzia,covid-19
20441523,Norine,56,Ribeirão das Neves,catapora
20442300,Arminta,60,Betim,pneumonia
20443077,Sid,6,Ribeirão das Neves,covid-19
20443854,Pat,51,Betim,cancer
20444631,Hazel,65,Betim,artrite
20445408,Gena,80,Santa Luzia,catapora
20446185,Felix,71,Ribeirão das Neves,artrite
20446962,Amadeo,63,Ribeirão das Neves,fibromialgia
20447739,Jesusa,71,Belo Horizonte,fibromialgia
20448516,Marshall,25,Belo Horizonte,catapora
20449293,Norwood,69,Betim,gripe
20450070,Gilman,49,Santa Luzia,artrite
20450847,Maxine,70,Ribeirão das Neves,virose
20451624,Drucilla,75,Betim,pneumonia
20452401,Lucius,99,Belo Horizonte,catapora
20453178,Cynthia,93,Belo Horizonte,dengue
20453955,Nita,75,Santa Luzia,artrite
20454732,Myrtie,33,Belo Horizonte,dengue
20455509,Lavinia,65,Belo Horizonte,gripe
20456286,Anna,2,Santa Luzia,artrite
20457063,Claire,35,Betim,artrite
20457840,Buna,32,Contagem,gripe
20458617,Montgomery,36,Belo Horizonte,catapora
20459394,Imogene,52,Ribeirão das Neves,pneumonia
20460171,Texie,50,Ribeirão das Neves,pneumonia
20460948,Issac,70,Contagem,fibromialgia
20461725,Leonor,10,Betim,artrite
20462502,Elden,39,Belo Horizonte,gripe
20463279,Annabelle,55,Belo Horizonte,virose
20464056,Omer,52,Ribeirão das Neves,artrite
20464833,Elgie,74,Santa Luzia,gripe
20465610,Lynda,63,Santa Luzia,covid-19
20466387,Morris,71,Ribeirão das Neves,covid-19
20467164,Palma,19,Santa Luzia,febre amarela
20467941,Susannah,78,Ribeirão das Neves,fibromialgia
20468718,Hardy,83,Santa Luzia,artrite
20469495,Ruben,9,Betim,dengue
20470272,Lady,93,Contagem,dengue
20471049,Wilhelmenia,35,Betim,virose
20471826,Joseph,49,Belo Horizonte,gripe
20472603,Ell,14,Ribeirão das Neves,cancer
20473380,Esta,77,Betim,cancer
20474157,Icy,48,Betim,gripe
20474934,Randall,4,Contagem,cancer
20475711,Madison,14,Santa Luzia,gripe
20476488,Leonie,24,Belo Horizonte,gripe
20477265,Marie,61,Santa Luzia,pneumonia
20478042,Eula,99,Contagem,catapora
20478819,Wilfrid,61,Contagem,fibromialgia
20479596,Carmel,18,Betim,pneumonia
20480373,Al,85,Contagem,catapora
20481150,Jodie,1,Ribeirão das Neves,febre amarela
20481927,Anson,50,Ribeirão das Neves,gripe
20482704,Harry,73,Contagem,gripe
20483481,Sussie,43,Santa Luzia,artrite
20484258,Charlie,40,Contagem,febre amarela
